Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
82.5,7,0.7,0.666667,0.979587,0,75,82,165
83,7,0.7,0.666667,0.120197,1,76,82,166
83.5,6,0.6,0.333333,-1,0,76,83,166
83.5,7,0.7,0.666667,0.359444,0,76,83,167
84,7,0.7,0.666667,0.29614,1,77,83,168
84.5,6,0.6,0.333333,-1,0,77,84,168
84.5,7,0.7,0.666667,0.480894,0,77,84,169
85,7,0.7,0.666667,0.118728,1,78,84,170
85.5,6,0.6,0.333333,-1,0,78,85,170
85.5,7,0.7,0.666667,0.688661,0,78,85,171
86,7,0.7,0.666667,0.317983,1,79,85,172
86.5,6,0.6,0.333333,-1,0,79,86,172
86.5,7,0.7,0.666667,0.880476,0,79,86,173
87,7,0.7,0.666667,0.414263,1,80,86,174
87.5,6,0.6,0.333333,-1,0,80,87,174
87.5,7,0.7,0.666667,0.918235,0,80,87,175
88,7,0.7,0.666667,0.0641475,1,81,87,176
88.5,6,0.6,0.333333,-1,0,81,88,176
88.5,6,0.6,0.333333,0.216822,1,82,88,177
89,7,0.7,0.666667,0.692472,0,82,88,178
89.5,6,0.6,0.333333,-1,0,82,89,178
89.5,7,0.7,0.666667,0.565189,0,82,89,179
90,7,0.7,0.666667,0.566601,1,83,89,180
90.5,6,0.6,0.333333,-1,0,83,90,180
90.5,7,0.7,0.666667,0.865103,0,83,90,181
91,7,0.7,0.666667,0.265389,1,84,90,182
91.5,6,0.6,0.333333,-1,0,84,91,182
91.5,7,0.7,0.666667,0.508969,0,84,91,183
92,7,0.7,0.666667,0.523248,1,85,91,184
92.5,6,0.6,0.333333,-1,0,85,92,184
92.5,7,0.7,0.666667,0.916723,0,85,92,185
93,7,0.7,0.666667,0.0939405,1,86,92,186
93.5,6,0.6,0.333333,-1,0,86,93,186
93.5,7,0.7,0.666667,0.921158,0,86,93,187
94,7,0.7,0.666667,0.575946,1,87,93,188
94.5,6,0.6,0.333333,-1,0,87,94,188
94.5,6,0.6,0.333333,0.0831125,1,88,94,189
95,7,0.7,0.666667,0.929296,0,88,94,190
95.5,6,0.6,0.333333,-1,0,88,95,190
95.5,6,0.6,0.333333,0.277719,1,89,95,191
96,6,0.6,0.333333,0.318569,1,90,95,192
96.5,5,0.5,0,-1,0,90,96,192
96.5,6,0.6,0.333333,0.0093567,0,90,96,193
97,7,0.7,0.666667,0.66741,0,90,96,194
97.5,6,0.6,0.333333,-1,0,90,97,194
97.5,7,0.7,0.666667,0.842342,0,90,97,195
98,7,0.7,0.666667,0.131798,1,91,97,196
98.5,6,0.6,0.333333,-1,0,91,98,196
98.5,7,0.7,0.666667,0.647174,0,91,98,197
99,8,0.8,1,0.716327,0,91,98,198
99.5,7,0.7,0.666667,-1,0,91,99,198
99.5,8,0.8,1,0.841386,0,91,99,199
100,8,0.8,1,0.289406,1,92,99,200
